School ID,Action Type Code,Result School ID,Result Code
400095,1,610055,1
609775,1,610223,1
609781,6,610237,1
609881,1,610293,1
609906,1,609904,1
609906,1,610367,1
609907,1,610194,1
609913,1,609897,1
609916,1,610530,1
609932,1,609943,1
609989,1,610252,1
610018,1,609969,1
610018,1,610142,1
610020,1,609904,1
610023,1,610271,1
610028,1,610004,1
610028,1,610208,1
610028,1,610368,1
610031,1,609854,1
610045,1,609821,1
610048,1,610012,1
610058,1,610305,1
610061,1,610110,1
610072,1,610153,1
610085,1,610075,1
610114,1,610173,1
610119,1,610107,1
610128,1,610086,1
610134,1,610274,1
610150,1,610263,1
610154,1,610133,1
610156,1,610305,1
610160,1,609900,1
610161,1,609793,1
610169,1,609919,1
610187,1,610242,1
610189,1,610355,1
610205,1,609852,1
610205,1,610070,1
610205,1,610269,1
610210,1,610313,1
610224,1,609808,1
610232,1,609894,1
610233,1,609971,1
610240,1,610005,1
610241,1,610202,1
610243,1,610251,1
610265,1,610290,1
610266,1,610213,1
610273,1,609826,1
610273,1,610024,1
610277,1,610276,1
610280,1,610075,1
610285,1,609791,1
610320,1,610313,1
610336,1,609894,1
610348,1,609985,1
610365,1,609954,1
610369,1,609924,1
610395,1,610126,1
400095,1,610055,2
609913,1,610108,2
609916,1,610213,2
610072,1,609955,2
610072,1,610300,2
610205,1,610122,2
610224,1,609902,2
610240,1,609991,2
610240,1,610221,2
610273,1,609873,2
610273,1,610123,2
610277,1,609819,2
610285,1,609869,2
610285,1,609793,2
610365,1,610271,2
610369,1,610003,2
609775,1,610223,2
609881,1,610293,2
609906,1,609904,2
609906,1,610367,2
609907,1,610194,2
609913,1,609897,2
609932,1,609943,2
609989,1,610252,2
610018,1,609969,2
610018,1,610142,2
610020,1,609904,2
610023,1,610271,2
610028,1,610004,2
610028,1,610208,2
610028,1,610368,2
610031,1,609854,2
610045,1,609821,2
610048,1,610012,2
610058,1,610305,2
610061,1,610110,2
610072,1,610153,2
610085,1,610075,2
610114,1,610173,2
610119,1,610107,2
610128,1,610086,2
610134,1,610274,2
610150,1,610263,2
610154,1,610133,2
610156,1,610305,2
610160,1,609900,2
610161,1,609793,2
610169,1,609919,2
610187,1,610242,2
610189,1,610355,2
610205,1,609852,2
610205,1,610070,2
610205,1,610269,2
610210,1,610313,2
610224,1,609808,2
610232,1,609894,2
610233,1,609971,2
610240,1,610005,2
610241,1,610202,2
610243,1,610251,2
610265,1,610290,2
610266,1,610213,2
610273,1,609826,2
610273,1,610024,2
610277,1,610276,2
610280,1,610075,2
610285,1,609791,2
610320,1,610313,2
610336,1,609894,2
610348,1,609985,2
610365,1,609954,2
610369,1,609924,2
610395,1,610126,2
609790,7,,
609821,3,610045,
609844,2,,
609851,2,,
609885,2,,
609894,4,610232,
609897,3,609913,
609919,3,610169,
610036,2,,
610056,5,,
610103,2,,
610110,3,610061,
610126,3,610395,
610133,3,610154,
610213,3,610266,
610223,3,609775,
610252,3,609989,
610290,3,610265,
610293,3,609881,
610305,3,610058,
610355,3,610189,
